imputation,F1,F2,F3,F4,F5,F6,F7
1,-ment_flex,epis_mem,verb_wm,visp_mem,set_shift,anxiety,visp_wm
2,-ment_flex,epis_mem,verb_wm,visp_mem,set_shift,anxiety,visp_wm
3,ment_flex,epis_mem,verb_wm,visp_wm,visp_mem,anxiety,set_shift
4,epis_mem,set_shift,verb_wm,-ment_flex,visp_mem,anxiety,visp_wm
5,ment_flex,verb_wm,epis_mem,visp_mem,set_shift,anxiety,visp_wm
6,ment_flex,epis_mem,verb_wm,visp_mem,anxiety,visp_wm,set_shift
7,-ment_flex,epis_mem,visp_mem,verb_wm,anxiety,set_shift,visp_wm
8,-ment_flex,epis_mem,verb_wm,set_shift,visp_mem,anxiety,visp_wm
9,ment_flex,epis_mem,verb_wm,visp_mem,visp_wm,anxiety,set_shift
10,epis_mem,ment_flex,verb_wm,visp_mem,visp_wm,anxiety,set_shift
11,ment_flex,epis_mem,verb_wm,visp_mem,set_shift,anxiety,visp_wm
12,epis_mem,-ment_flex,set_shift,verb_wm,visp_mem,visp_wm,anxiety
13,-ment_flex,epis_mem,visp_mem,verb_wm,set_shift,-anxiety,visp_wm
14,-ment_flex,epis_mem,set_shift,verb_wm,visp_mem,anxiety,visp_wm
15,-ment_flex,epis_mem,verb_wm,visp_mem,anxiety,set_shift,visp_wm
16,ment_flex,epis_mem,verb_wm,visp_mem,set_shift,anxiety,visp_wm
17,ment_flex,epis_mem,verb_wm,visp_mem,visp_wm,anxiety,set_shift
18,ment_flex,epis_mem,verb_wm,set_shift,visp_mem,visp_wm,anxiety
19,ment_flex,epis_mem,visp_wm,verb_wm,anxiety,visp_mem,set_shift
20,epis_mem,verb_wm,-ment_flex,set_shift,visp_mem,anxiety,visp_wm
21,ment_flex,epis_mem,verb_wm,visp_mem,set_shift,anxiety,visp_wm
22,epis_mem,-ment_flex,verb_wm,visp_mem,set_shift,anxiety,visp_wm
23,ment_flex,epis_mem,visp_wm,verb_wm,anxiety,visp_mem,set_shift
24,ment_flex,epis_mem,visp_mem,-anxiety,visp_wm,verb_wm,set_shift
25,ment_flex,epis_mem,visp_mem,anxiety,verb_wm,visp_wm,set_shift
26,visp_mem,verb_wm,epis_mem,-ment_flex,anxiety,visp_wm,-set_shift
27,ment_flex,epis_mem,visp_mem,set_shift,verb_wm,anxiety,visp_wm
28,-ment_flex,epis_mem,verb_wm,set_shift,visp_mem,anxiety,visp_wm
29,ment_flex,epis_mem,visp_mem,verb_wm,anxiety,visp_wm,set_shift
30,ment_flex,epis_mem,verb_wm,visp_mem,-set_shift,anxiety,visp_wm
31,ment_flex,epis_mem,verb_wm,visp_mem,anxiety,-visp_wm,set_shift
32,ment_flex,epis_mem,verb_wm,visp_wm,visp_mem,anxiety,set_shift
33,set_shift,epis_mem,verb_wm,ment_flex,anxiety,visp_mem,visp_wm
34,-ment_flex,epis_mem,verb_wm,visp_mem,set_shift,anxiety,visp_wm
35,ment_flex,epis_mem,visp_mem,verb_wm,anxiety,set_shift,visp_wm
36,ment_flex,epis_mem,visp_mem,verb_wm,visp_wm,anxiety,set_shift
37,ment_flex,epis_mem,visp_mem,verb_wm,anxiety,set_shift,visp_wm
38,ment_flex,epis_mem,verb_wm,visp_mem,anxiety,-visp_wm,set_shift
39,ment_flex,epis_mem,visp_wm,verb_wm,visp_mem,anxiety,set_shift
40,ment_flex,epis_mem,verb_wm,set_shift,visp_mem,anxiety,visp_wm
41,ment_flex,epis_mem,verb_wm,visp_wm,visp_mem,anxiety,set_shift
42,ment_flex,verb_wm,epis_mem,visp_wm,visp_mem,anxiety,set_shift
43,ment_flex,visp_wm,epis_mem,visp_mem,verb_wm,anxiety,set_shift
44,ment_flex,epis_mem,verb_wm,set_shift,visp_mem,anxiety,visp_wm
45,ment_flex,epis_mem,verb_wm,visp_mem,set_shift,-anxiety,visp_wm
46,ment_flex,epis_mem,verb_wm,visp_wm,-anxiety,visp_mem,set_shift
47,-ment_flex,epis_mem,set_shift,anxiety,verb_wm,visp_mem,visp_wm
48,epis_mem,-ment_flex,visp_mem,verb_wm,visp_wm,anxiety,set_shift
49,ment_flex,epis_mem,verb_wm,visp_mem,visp_wm,anxiety,set_shift
50,-ment_flex,epis_mem,verb_wm,visp_mem,-set_shift,anxiety,visp_wm
51,ment_flex,epis_mem,verb_wm,visp_mem,visp_wm,anxiety,set_shift
52,epis_mem,ment_flex,visp_mem,verb_wm,-anxiety,visp_wm,set_shift
53,ment_flex,epis_mem,verb_wm,visp_wm,anxiety,visp_mem,set_shift
54,ment_flex,epis_mem,verb_wm,visp_mem,set_shift,anxiety,visp_wm
55,-ment_flex,epis_mem,set_shift,verb_wm,visp_mem,anxiety,visp_wm
56,ment_flex,epis_mem,verb_wm,visp_mem,set_shift,anxiety,visp_wm
57,ment_flex,epis_mem,verb_wm,visp_mem,visp_wm,anxiety,set_shift
58,ment_flex,epis_mem,visp_mem,verb_wm,-set_shift,visp_wm,anxiety
59,ment_flex,epis_mem,visp_wm,visp_mem,verb_wm,anxiety,set_shift
60,epis_mem,verb_wm,-ment_flex,visp_mem,set_shift,visp_wm,anxiety
61,ment_flex,epis_mem,verb_wm,visp_mem,visp_wm,anxiety,set_shift
62,epis_mem,set_shift,-ment_flex,verb_wm,visp_mem,anxiety,visp_wm
63,ment_flex,epis_mem,verb_wm,visp_mem,set_shift,anxiety,visp_wm
64,epis_mem,set_shift,-ment_flex,verb_wm,visp_mem,anxiety,visp_wm
65,-ment_flex,epis_mem,verb_wm,visp_mem,visp_wm,anxiety,set_shift
66,ment_flex,epis_mem,-anxiety,visp_wm,visp_mem,verb_wm,set_shift
67,ment_flex,epis_mem,visp_wm,visp_mem,verb_wm,anxiety,set_shift
68,epis_mem,set_shift,verb_wm,-ment_flex,visp_mem,anxiety,visp_wm
69,ment_flex,epis_mem,verb_wm,visp_mem,set_shift,visp_wm,anxiety
70,ment_flex,epis_mem,verb_wm,visp_wm,visp_mem,anxiety,set_shift
71,-ment_flex,epis_mem,set_shift,verb_wm,visp_mem,anxiety,visp_wm
