Characteristic,N,Md,Min.Max,M,SD
Baseline characteristics,,,,,
	Age at surgery (years),126,58,40-76,57.25,7.96
	Education (years),117,13,10-23,14.26,2.91
	Sex (males),83 (66 %),,,,
	Disease duration at surgery (years),125,11,4-30,11.67,4.05
	LEDD (mg),114,1614,400-4138,1696.88,672.33
	Levodopa test (% response),93,54,20-81,52.64,12.81
	MDS-UPDRS III (ON medication),105,21,7-46,21.78,7.57
	MDS-UPDRS III (OFF medication),100,45,24-81,45.79,10.93
Stimulation parameters,,,,,
	Current right (mA),67,2.1,0.6-4.3,2.14,0.71
	Current left (mA),67,2.3,1.0-3.9,2.35,0.68
	Voltage right (V),59,3.0,1.4-5.3,3.00,0.65
	Voltage left (V),59,2.9,0.5-5.7,2.87,0.74
	Pulse duration right (µs),126,60.0,52.0-120.0,73.98,17.14
	Pulse duration left (µs),126,60.0,30.0-120.0,71.57,16.15
	Frequency right (Hz),126,130.0,60.0-210.0,128.42,12.44
	Frequency left (Hz),126,130.0,60.0-160.0,127.89,11.14
