Parameter;b;X95..PPI;pdir;Group
Intercept;140.25;[139.62, 140.88];0.000;alpha
EF/Att.;-0.17;[-0.78, 0.32];0.764;beta
EM;-0.16;[-0.73, 0.28];0.768;beta
VWM;-0.87;[-1.64, -0.02];0.986;beta
VM;-0.34;[-1.04, 0.21];0.880;beta
SS;-0.69;[-1.39, 0.02];0.976;beta
An.;-0.04;[-0.59, 0.43];0.589;beta
SWM;-0.29;[-1.03, 0.27];0.845;beta
Time;-0.75;[-1.01, -0.50];1.000;delta
EF/Att. × Time;-0.40;[-0.64, -0.14];0.999;delta
EM × Time;0.00;[-0.22, 0.23];0.492;delta
VWM × Time;0.15;[-0.11, 0.44];0.129;delta
VM × Time;-0.16;[-0.45, 0.11];0.881;delta
SS × Time;-0.15;[-0.51, 0.18];0.780;delta
An. × Time;-0.00;[-0.22, 0.21];0.519;delta
SWM × Time;0.06;[-0.35, 0.42];0.376;delta
