Test,N,Md,Min-Max,M,SD
DRS-2 (range 0-144),126,141,129-144,139.77,3.68
BDI-II (range 0-63),122,8,0-28,9.28,5.95
STAI-X1 (range 20-80),104,37,23-63,38.27,8.66
STAI-X2 (range 20-80),104,39,22-62,39.52,8.11
TMT-A (secs),125,41,18-122,43.15,15.85
TMT-B (secs),124,102,39-334,119.01,54.96
DS-F (range 0-16),113,8,5-16,8.94,2.02
DS-B (range 0-14),113,6,2-11,6.21,1.80
LNS (range 0-21),97,8,2-13,7.85,2.46
SS-F (range 0-16),110,8,4-14,7.54,1.74
SS-B (range 0-16),110,7,2-11,6.97,1.69
TOL (range 0-108),118,78,46-90,74.93,9.81
PST-D (secs),124,13,8-20,13.09,2.37
PST-W (secs),124,15,10-25,15.72,2.97
PST-C (secs),124,28,14-57,29.35,9.15
COWAT (total words),125,32,12-57,32.35,9.05
CFT (words/min.),89,22,3-39,22.55,7.10
Sim. (range 0-28),94,22,8-28,21.61,4.35
RAVLT-IR (range 0-75) ,108,44,20-64,43.80,8.39
RAVLT-B (range 0-15),108,5,0-8,4.71,1.45
RAVLT-DR (range 0-15),108,8,3-14,8.37,2.49
RAVLT-Rec50 (range 0-50),105,46,33-50,45.10,3.49
RAVLT-Rec15 (range 0-15),107,14,9-15,13.32,1.54
FP-IR (range 0-64),74,32,15-55,32.04,10.21
FP-DR (range 0-64),74,32,13-55,31.91,9.97
