"dataset","elpd_dif","se_dif","ci_low","ci_upp","sig_dif","winner"
"1","5.26","4.35","-3.27","13.78","","tests"
"2","6.30","4.21","-1.94","14.55","","tests"
"3","12.51","4.94","2.83","22.18","*","tests"
"4","9.08","3.92","1.40","16.76","*","tests"
"5","4.58","3.99","-3.24","12.40","","tests"
"6","25.58","7.33","11.21","39.94","*","tests"
"7","3.93","4.38","-4.66","12.51","","tests"
"8","4.21","4.07","-3.76","12.19","","tests"
"9","23.79","6.74","10.57","37.00","*","tests"
"10","36.02","7.25","21.80","50.24","*","tests"
"11","6.46","4.00","-1.39","14.30","","tests"
"12","9.08","4.35","0.55","17.61","*","tests"
"13","3.07","4.51","-5.76","11.91","","tests"
"14","0.59","4.25","-7.75","8.93","","tests"
"15","3.60","3.86","-3.96","11.16","","tests"
"16","3.83","4.08","-4.18","11.84","","tests"
"17","16.55","5.26","6.24","26.86","*","tests"
"18","8.09","4.80","-1.32","17.50","","tests"
"19","14.91","5.32","4.48","25.34","*","tests"
"20","10.78","5.38","0.24","21.32","*","tests"
"21","-0.51","3.95","-8.25","7.23","","domains"
"22","8.85","3.91","1.18","16.52","*","tests"
"23","16.22","5.57","5.30","27.15","*","tests"
"24","25.90","6.03","14.08","37.72","*","tests"
"25","6.60","4.43","-2.08","15.28","","tests"
"26","5.61","4.88","-3.95","15.18","","tests"
"27","7.19","4.57","-1.77","16.16","","tests"
"28","3.37","4.01","-4.49","11.24","","tests"
"29","3.02","4.69","-6.17","12.22","","tests"
"30","2.75","4.26","-5.61","11.10","","tests"
"31","34.94","6.89","21.44","48.44","*","tests"
"32","25.98","6.99","12.27","39.69","*","tests"
"33","12.90","5.44","2.24","23.56","*","tests"
"34","0.95","5.00","-8.86","10.75","","tests"
"35","4.54","4.77","-4.81","13.90","","tests"
"36","19.33","5.76","8.04","30.61","*","tests"
"37","5.65","4.09","-2.37","13.66","","tests"
"38","2.61","4.63","-6.46","11.68","","tests"
"39","29.02","6.06","17.14","40.90","*","tests"
"40","24.83","6.89","11.33","38.33","*","tests"
"41","22.31","5.99","10.58","34.05","*","tests"
"42","32.49","7.28","18.23","46.75","*","tests"
"43","26.30","6.07","14.40","38.21","*","tests"
"44","4.34","4.06","-3.61","12.29","","tests"
"45","1.64","4.18","-6.56","9.84","","tests"
"46","19.98","5.52","9.16","30.81","*","tests"
"47","8.46","4.63","-0.62","17.54","","tests"
"48","28.06","7.23","13.89","42.22","*","tests"
"49","25.84","6.74","12.64","39.05","*","tests"
"50","5.72","4.21","-2.53","13.96","","tests"
"51","8.48","5.22","-1.75","18.71","","tests"
"52","16.15","5.75","4.88","27.41","*","tests"
"53","25.98","6.04","14.15","37.81","*","tests"
"54","34.19","7.47","19.54","48.84","*","tests"
"55","4.50","4.32","-3.96","12.96","","tests"
"56","3.03","4.10","-5.01","11.07","","tests"
"57","21.98","6.10","10.02","33.94","*","tests"
"58","9.99","4.30","1.55","18.42","*","tests"
"59","12.58","5.08","2.62","22.53","*","tests"
"60","2.39","4.93","-7.28","12.06","","tests"
"61","3.16","4.07","-4.81","11.13","","tests"
"62","9.37","4.63","0.29","18.44","*","tests"
"63","5.34","4.17","-2.84","13.51","","tests"
"64","12.35","5.24","2.08","22.63","*","tests"
"65","3.20","4.08","-4.80","11.20","","tests"
"66","33.67","7.02","19.92","47.43","*","tests"
"67","32.77","7.05","18.96","46.58","*","tests"
"68","11.92","4.85","2.41","21.43","*","tests"
"69","6.01","4.53","-2.88","14.89","","tests"
"70","31.97","7.19","17.88","46.05","*","tests"
"71","14.68","5.90","3.11","26.25","*","tests"
"72","15.37","4.49","6.58","24.17","*","tests"
"73","5.20","4.51","-3.64","14.05","","tests"
"74","15.08","5.55","4.21","25.96","*","tests"
"75","2.64","4.49","-6.17","11.45","","tests"
"76","18.86","6.22","6.68","31.04","*","tests"
"77","27.17","6.36","14.71","39.63","*","tests"
"78","4.76","3.93","-2.95","12.47","","tests"
"79","3.30","3.93","-4.41","11.00","","tests"
"80","3.63","4.03","-4.27","11.54","","tests"
"81","2.02","4.11","-6.04","10.08","","tests"
"82","22.92","6.14","10.89","34.95","*","tests"
"83","5.39","4.38","-3.20","13.98","","tests"
"84","8.84","5.24","-1.44","19.12","","tests"
"85","11.77","5.12","1.73","21.80","*","tests"
"86","23.27","6.03","11.46","35.08","*","tests"
"87","23.92","6.72","10.74","37.09","*","tests"
"88","22.62","5.79","11.28","33.97","*","tests"
"89","29.30","6.60","16.36","42.23","*","tests"
"90","8.67","4.16","0.52","16.83","*","tests"
"91","7.60","4.16","-0.54","15.75","","tests"
"92","6.55","4.60","-2.46","15.56","","tests"
"93","7.96","3.89","0.33","15.59","*","tests"
"94","1.54","4.25","-6.79","9.87","","tests"
"95","22.46","6.09","10.53","34.39","*","tests"
"96","11.94","4.81","2.52","21.36","*","tests"
"97","4.49","4.27","-3.88","12.87","","tests"
"98","41.43","7.64","26.45","56.41","*","tests"
"99","7.65","3.94","-0.07","15.37","","tests"
"100","2.99","4.53","-5.88","11.87","","tests"
